latitude,longitude,altitude,geometry,English Name,Latitude,Longitude,Nom en français,Station ID
53.090299,-114.460608,,Point,Breton,53.090299,-114.460608,Breton,92601
53.2196,-114.9718,,Point,Drayton Valley,53.2196,-114.9718,Drayton Valley,92801
53.5874,-116.4306,,Point,Edson,53.5874,-116.4306,Edson,92901
53.3016,-114.2211,,Point,Genesee,53.3016,-114.2211,Genesee,93101
53.4273011,-117.544067,,Point,Hinton,53.4273011,-117.544067,Hinton,93202
53.53,-114.6361,,Point,Meadows,53.53,-114.6361,Meadows,93801
53.633,-114.4199,,Point,Power,53.633,-114.4199,Power,93901
53.493889,-114.449722,,Point,Wagner 2,53.493889,-114.449722,Wagner 2,94202
54.458,-110.174,,Point,Cold Lake South,54.458,-110.174,Cold Lake South,94301
54.216472,-111.502639,,Point,St. Lina,54.216472,-111.502639,St. Lina,94401
55.34037,-115.89567,,Point,Joussard,55.34037,-115.89567,Joussard,94500
56.448908,-111.037975,,Point,Anzac,56.448908,-111.037975,Anzac,94601
55.903242,-111.749744,,Point,Janvier,55.903242,-111.749744,Janvier,94701
49.227045,-122.894487,,Point,New Westminster,49.227045,-122.894487,New Westminster,100103
49.2794444444444,-122.97111111111,,Point,Kensington Park,49.2794444444444,-122.97111111111,Kensington Park,100110
49.28083,-122.84917,,Point,Rocky Pt. Park,49.28083,-122.84917,Rocky Pt. Park,100111
49.28222,-123.12119,,Point,Robson Square,49.28222,-123.12119,Robson Square,100112
49.26167,-123.16333,,Point,Kitsilano,49.26167,-123.16333,Kitsilano,100118
49.21528,-122.98556,,Point,Burnaby South,49.21528,-122.98556,Burnaby South,100119
49.30167,-123.02028,,Point,Second Narrows,49.30167,-123.02028,Second Narrows,100121
49.1583333333333,-122.90166666666,,Point,North Delta,49.1583333333333,-122.90166666666,North Delta,100125
49.27972,-122.92222,,Point,Burnaby Mountain,49.27972,-122.92222,Burnaby Mountain,100126
49.1327777777778,-122.69417,,Point,Surrey East,49.1327777777778,-122.69417,Surrey East,100127
49.1416666666667,-123.10805555555,,Point,Richmond South,49.1416666666667,-123.10805555555,Richmond South,100128
49.3238888888889,-123.08361,,Point,Mahon Park,49.3238888888889,-123.08361,Mahon Park,100132
49.1863888888889,-123.15222,,Point,Vancouver Intl. Airport,49.1863888888889,-123.15222,Vancouver Intl. Airport,100134
