latitude,longitude,altitude,geometry,Latitude,Longitude,cgndb_key,region_name_en,region_name_fr
49.2333333333333,-122.68333333333,,Point,49.2333333333333,-122.68333333333,JBXHZ,Metro Vancouver - NE,Metro Vancouver - nord-est
49.324722,-117.666667,,Point,49.324722,-117.666667,JCAAC,Castlegar,Castlegar
50.1166666666667,-122.96666666666,,Point,50.1166666666667,-122.96666666666,JCJHI,Whistler,Whistler
48.423611,-123.493333,,Point,48.423611,-123.493333,JCLMX,WestShore,WestShore
54.053333,-128.652222,,Point,54.053333,-128.652222,JCMDB,Kitimat,Kitimat
49.6830556,-124.9347222,,Point,49.6830556,-124.9347222,JCUYZ,Comox,Comox
49.175,-121.94166666666,,Point,49.175,-121.94166666666,JCVCC,Eastern Fraser Valley,Bas-Fraser - est
49.75,-123.133333,,Point,49.75,-123.133333,JCVCJ,Squamish,Squamish
60.6961111,-135.0808333,,Point,60.6961111,-135.0808333,KAHFT,Whitehorse,Whitehorse
60.0053,-111.8829,,Point,60.0053,-111.8829,LAILN,Fort Smith,Fort Smith
68.3609,-133.7297,,Point,68.3609,-133.7297,LALNA,Inuvik,Inuvik
65.2811,-126.8316,,Point,65.2811,-126.8316,LARCU,Norman Wells,Norman Wells
62.4536,-114.37,,Point,62.4536,-114.37,LBAMG,Yellowknife,Yellowknife
63.75,-68.5166666,,Point,63.75,-68.5166666,OATRP,Iqaluit,Iqaluit
61.108333,-94.058333,,Point,61.108333,-94.058333,OATSD,Arviat,Arviat
67.826667,-115.09333,,Point,67.826667,-115.09333,OAUDO,Kugluktuk,Kugluktuk
